order_id,date,product,region,quantity,revenue
1094,2026-05-14,패널 E,부산,2,6000
1095,2026-06-15,위젯 A,대구,9,9000
1096,2026-01-16,위젯 B,서울,16,24000
1097,2026-02-17,기어 C,부산,3,6000
1098,2026-03-18,볼트 D,대구,10,25000
1099,2026-04-19,패널 E,서울,17,51000
1100,2026-05-20,위젯 A,부산,4,4000
1101,2026-06-21,위젯 B,대구,11,16500
1102,2026-01-22,기어 C,서울,18,36000
1103,2026-02-23,볼트 D,부산,5,12500
1104,2026-03-24,패널 E,대구,12,36000
1105,2026-04-25,위젯 A,서울,19,19000
1106,2026-05-26,위젯 B,부산,6,9000
1107,2026-06-27,기어 C,대구,13,26000
1108,2026-01-01,볼트 D,서울,20,50000
1109,2026-02-02,패널 E,부산,7,21000
1110,2026-03-03,위젯 A,대구,14,14000
1111,2026-04-04,위젯 B,서울,1,1500
1112,2026-05-05,기어 C,부산,8,16000
1113,2026-06-06,볼트 D,대구,15,37500
1114,2026-01-07,패널 E,서울,2,6000
1115,2026-02-08,위젯 A,부산,9,9000
1116,2026-03-09,위젯 B,대구,16,24000
1117,2026-04-10,기어 C,서울,3,6000
1118,2026-05-11,볼트 D,부산,10,25000
1119,2026-06-12,패널 E,대구,17,51000
1120,2026-01-13,위젯 A,서울,4,4000
1121,2026-02-14,위젯 B,부산,11,16500
1122,2026-03-15,기어 C,대구,18,36000
1123,2026-04-16,볼트 D,서울,5,12500
1124,2026-05-17,패널 E,부산,12,36000
1125,2026-06-18,위젯 A,대구,19,19000
1126,2026-01-19,위젯 B,서울,6,9000
1127,2026-02-20,기어 C,부산,13,26000
1128,2026-03-21,볼트 D,대구,20,50000
1129,2026-04-22,패널 E,서울,7,21000
1130,2026-05-23,위젯 A,부산,14,14000
1131,2026-06-24,위젯 B,대구,1,1500
1132,2026-01-25,기어 C,서울,8,16000
1133,2026-02-26,볼트 D,부산,15,37500
1134,2026-03-27,패널 E,대구,2,6000
1135,2026-04-01,위젯 A,서울,9,9000
1136,2026-05-02,위젯 B,부산,16,24000
1137,2026-06-03,기어 C,대구,3,6000
1138,2026-01-04,볼트 D,서울,10,25000
1139,2026-02-05,패널 E,부산,17,51000
1140,2026-03-06,위젯 A,대구,4,4000
1141,2026-04-07,위젯 B,서울,11,16500
1142,2026-05-08,기어 C,부산,18,36000
1143,2026-06-09,볼트 D,대구,5,12500
1144,2026-01-10,패널 E,서울,12,36000
1145,2026-02-11,위젯 A,부산,19,19000
1146,2026-03-12,위젯 B,대구,6,9000
1147,2026-04-13,기어 C,서울,13,26000
1148,2026-05-14,볼트 D,부산,20,50000
1149,2026-06-15,패널 E,대구,7,21000
1150,2026-01-16,위젯 A,서울,14,14000
1151,2026-02-17,위젯 B,부산,1,1500
1152,2026-03-18,기어 C,대구,8,16000
1153,2026-04-19,볼트 D,서울,15,37500
1154,2026-05-20,패널 E,부산,2,6000
1155,2026-06-21,위젯 A,대구,9,9000
1156,2026-01-22,위젯 B,서울,16,24000
1157,2026-02-23,기어 C,부산,3,6000
1158,2026-03-24,볼트 D,대구,10,25000
1159,2026-04-25,패널 E,서울,17,51000
1160,2026-05-26,위젯 A,부산,4,4000
1161,2026-06-27,위젯 B,대구,11,16500
1162,2026-01-01,기어 C,서울,18,36000
1163,2026-02-02,볼트 D,부산,5,12500
1164,2026-03-03,패널 E,대구,12,36000
1165,2026-04-04,위젯 A,서울,19,19000
1166,2026-05-05,위젯 B,부산,6,9000
1167,2026-06-06,기어 C,대구,13,26000
1168,2026-01-07,볼트 D,서울,20,50000
1169,2026-02-08,패널 E,부산,7,21000
1170,2026-03-09,위젯 A,대구,14,14000
1171,2026-04-10,위젯 B,서울,1,1500
1172,2026-05-11,기어 C,부산,8,16000
1173,2026-06-12,볼트 D,대구,15,37500
1174,2026-01-13,패널 E,서울,2,6000
1175,2026-02-14,위젯 A,부산,9,9000
1176,2026-03-15,위젯 B,대구,16,24000
1177,2026-04-16,기어 C,서울,3,6000
1178,2026-05-17,볼트 D,부산,10,25000
1179,2026-06-18,패널 E,대구,17,51000
1180,2026-01-19,위젯 A,서울,4,4000
1181,2026-02-20,위젯 B,부산,11,16500
1182,2026-03-21,기어 C,대구,18,36000
1183,2026-04-22,볼트 D,서울,5,12500
1184,2026-05-23,패널 E,부산,12,36000
1185,2026-06-24,위젯 A,대구,19,19000
1186,2026-01-25,위젯 B,서울,6,9000
1187,2026-02-26,기어 C,부산,13,26000
1188,2026-03-27,볼트 D,대구,20,50000
1189,2026-04-01,패널 E,서울,7,21000
1190,2026-05-02,위젯 A,부산,14,14000
1191,2026-06-03,위젯 B,대구,1,1500
1192,2026-01-04,기어 C,서울,8,16000
1193,2026-02-05,볼트 D,부산,15,37500
1194,2026-03-06,패널 E,대구,2,6000
1195,2026-04-07,위젯 A,서울,9,9000
1196,2026-05-08,위젯 B,부산,16,24000
1197,2026-06-09,기어 C,대구,3,6000
1198,2026-01-10,볼트 D,서울,10,25000
1199,2026-02-11,패널 E,부산,17,51000
1200,2026-03-12,위젯 A,대구,4,4000
1201,2026-04-13,위젯 B,서울,11,16500
1202,2026-05-14,기어 C,부산,18,36000
1203,2026-06-15,볼트 D,대구,5,12500
1204,2026-01-16,패널 E,서울,12,36000
1205,2026-02-17,위젯 A,부산,19,19000
1206,2026-03-18,위젯 B,대구,6,9000
1207,2026-04-19,기어 C,서울,13,26000
1208,2026-05-20,볼트 D,부산,20,50000
1209,2026-06-21,패널 E,대구,7,21000
1210,2026-01-22,위젯 A,서울,14,14000
1211,2026-02-23,위젯 B,부산,1,1500
1212,2026-03-24,기어 C,대구,8,16000
1213,2026-04-25,볼트 D,서울,15,37500
1214,2026-05-26,패널 E,부산,2,6000
1215,2026-06-27,위젯 A,대구,9,9000
1216,2026-01-01,위젯 B,서울,16,24000
1217,2026-02-02,기어 C,부산,3,6000
1218,2026-03-03,볼트 D,대구,10,25000
1219,2026-04-04,패널 E,서울,17,51000
1220,2026-05-05,위젯 A,부산,4,4000
1221,2026-06-06,위젯 B,대구,11,16500
1222,2026-01-07,기어 C,서울,18,36000
1223,2026-02-08,볼트 D,부산,5,12500
1224,2026-03-09,패널 E,대구,12,36000
1225,2026-04-10,위젯 A,서울,19,19000
1226,2026-05-11,위젯 B,부산,6,9000
1227,2026-06-12,기어 C,대구,13,26000
1228,2026-01-13,볼트 D,서울,20,50000
1229,2026-02-14,패널 E,부산,7,21000
1230,2026-03-15,위젯 A,대구,14,14000
1231,2026-04-16,위젯 B,서울,1,1500
1232,2026-05-17,기어 C,부산,8,16000
1233,2026-06-18,볼트 D,대구,15,37500
1234,2026-01-19,패널 E,서울,2,6000
1235,2026-02-20,위젯 A,부산,9,9000
1236,2026-03-21,위젯 B,대구,16,24000
1237,2026-04-22,기어 C,서울,3,6000
1238,2026-05-23,볼트 D,부산,10,25000
1239,2026-06-24,패널 E,대구,17,51000
1240,2026-01-25,위젯 A,서울,4,4000
1241,2026-02-26,위젯 B,부산,11,16500
1242,2026-03-27,기어 C,대구,18,36000
1243,2026-04-01,볼트 D,서울,5,12500
1244,2026-05-02,패널 E,부산,12,36000
1245,2026-06-03,위젯 A,대구,19,19000
1246,2026-01-04,위젯 B,서울,6,9000
1247,2026-02-05,기어 C,부산,13,26000
1248,2026-03-06,볼트 D,대구,20,50000
1249,2026-04-07,패널 E,서울,7,21000
1250,2026-05-08,위젯 A,부산,14,14000
1251,2026-06-09,위젯 B,대구,1,1500
1252,2026-01-10,기어 C,서울,8,16000
1253,2026-02-11,볼트 D,부산,15,37500
1254,2026-03-12,패널 E,대구,2,6000
1255,2026-04-13,위젯 A,서울,9,9000
1256,2026-05-14,위젯 B,부산,16,24000
1257,2026-06-15,기어 C,대구,3,6000
1258,2026-01-16,볼트 D,서울,10,25000
1259,2026-02-17,패널 E,부산,17,51000
1260,2026-03-18,위젯 A,대구,4,4000
1261,2026-04-19,위젯 B,서울,11,16500
1262,2026-05-20,기어 C,부산,18,36000
1263,2026-06-21,볼트 D,대구,5,12500
1264,2026-01-22,패널 E,서울,12,36000
1265,2026-02-23,위젯 A,부산,19,19000
1266,2026-03-24,위젯 B,대구,6,9000
1267,2026-04-25,기어 C,서울,13,26000
1268,2026-05-26,볼트 D,부산,20,50000
1269,2026-06-27,패널 E,대구,7,21000
1270,2026-01-01,위젯 A,서울,14,14000
1271,2026-02-02,위젯 B,부산,1,1500
1272,2026-03-03,기어 C,대구,8,16000
1273,2026-04-04,볼트 D,서울,15,37500
1274,2026-05-05,패널 E,부산,2,6000
1275,2026-06-06,위젯 A,대구,9,9000
1276,2026-01-07,위젯 B,서울,16,24000
1277,2026-02-08,기어 C,부산,3,6000
1278,2026-03-09,볼트 D,대구,10,25000
1279,2026-04-10,패널 E,서울,17,51000
1280,2026-05-11,위젯 A,부산,4,4000
1281,2026-06-12,위젯 B,대구,11,16500
1282,2026-01-13,기어 C,서울,18,36000
1283,2026-02-14,볼트 D,부산,5,12500
1284,2026-03-15,패널 E,대구,12,36000
1285,2026-04-16,위젯 A,서울,19,19000
1286,2026-05-17,위젯 B,부산,6,9000
1287,2026-06-18,기어 C,대구,13,26000
1288,2026-01-19,볼트 D,서울,20,50000
1289,2026-02-20,패널 E,부산,7,21000
1290,2026-03-21,위젯 A,대구,14,14000
1291,2026-04-22,위젯 B,서울,1,1500
1292,2026-05-23,기어 C,부산,8,16000
1293,2026-06-24,볼트 D,대구,15,37500
1294,2026-01-25,패널 E,서울,2,6000
1295,2026-02-26,위젯 A,부산,9,9000
1296,2026-03-27,위젯 B,대구,16,24000
1297,2026-04-01,기어 C,서울,3,6000
1298,2026-05-02,볼트 D,부산,10,25000
1299,2026-06-03,패널 E,대구,17,51000
